NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Al Attles*, SFW, PG,26,71, , 26.4,4.2,8.9, .478, ,,, 4.2, 8.9,.478,.478, 1.9,2.9,.646, ,,2.9,2.6, , ,,3.6, 10.4
Dick Barnett, LAL, SG,26,80, , 31.8,6.8,14.5, .471, ,,, 6.8, 14.5,.471,.471, 4.3,5.3,.815, ,,3.0,2.8, , ,,2.4, 18.0
John Barnhill, STL, SG,24,77, , 35.0,4.7,10.9, .430, ,,, 4.7, 10.9,.430,.430, 2.4,3.3,.710, ,,4.7,4.2, , ,,2.2, 11.7
Elgin Baylor*, LAL, SF,28,80, , 42.1,12.9,28.4, .453, ,,, 12.9, 28.4,.453,.453, 8.3,9.9,.837, ,,14.3,4.8, , ,,2.8, 34.0
Zelmo Beaty*, STL, C,23,80, , 24.0,3.7,8.5, .439, ,,, 3.7, 8.5,.439,.439, 2.8,3.8,.717, ,,8.3,1.1, , ,,3.9, 10.2
Walt Bellamy*, CHZ, C,23,80, , 41.3,10.5,19.9, .527, ,,, 10.5, 19.9,.527,.527, 6.9,10.3,.674, ,,16.4,2.9, , ,,3.5, 27.9
Al Bianchi, SYR, SG,30,61, , 19.0,3.3,7.8, .424, ,,, 3.3, 7.8,.424,.424, 2.0,2.7,.732, ,,2.2,2.8, , ,,2.7, 8.6
Bucky Bockhorn, CIN, SG,29,80, , 32.7,4.7,11.9, .393, ,,, 4.7, 11.9,.393,.393, 2.3,3.0,.756, ,,4.0,3.3, , ,,3.3, 11.7
Bob Boozer, CIN, PF,25,79, , 31.5,5.6,12.6, .444, ,,, 5.6, 12.6,.444,.444, 3.2,4.5,.714, ,,11.1,1.3, , ,,3.8, 14.3
Bill Bridges, STL, PF,23,27, , 13.9,2.4,5.9, .413, ,,, 2.4, 5.9,.413,.413, 1.2,1.9,.627, ,,5.3,0.9, , ,,2.1, 6.1
Joe Buckhalter, CIN, PF,25,2, , 6.0,0.0,2.5, .000, ,,, 0.0, 2.5,.000,.000, 1.0,1.0,1.000, ,,1.5,0.0, , ,,0.5, 1.0
Cleveland Buckner, NYK, PF,24,6, , 4.5,0.8,1.7, .500, ,,, 0.8, 1.7,.500,.500, 0.3,0.7,.500, ,,0.7,0.8, , ,,1.0, 2.0
Dave Budd, NYK, SF,24,78, , 22.1,3.8,7.6, .493, ,,, 3.8, 7.6,.493,.493, 1.9,2.6,.748, ,,5.1,1.1, , ,,2.6, 9.5
Donnie Butcher, NYK, SG,26,68, , 17.5,2.5,6.2, .406, ,,, 2.5, 6.2,.406,.406, 1.9,2.9,.675, ,,2.6,2.0, , ,,2.4, 7.0
Al Butler, NYK, PG,24,74, , 20.1,4.0,9.1, .439, ,,, 4.0, 9.1,.439,.439, 1.9,2.5,.770, ,,2.3,2.1, , ,,2.0, 10.0
Barney Cable, TOT, SF,27,61, , 19.7,2.8,6.2, .455, ,,, 2.8, 6.2,.455,.455, 1.0,1.6,.646, ,,3.9,1.4, , ,,2.2, 6.7
Barney Cable, STL, SF,27,42, , 15.8,2.5,5.1, .495, ,,, 2.5, 5.1,.495,.495, 1.0,1.5,.651, ,,3.1,1.0, , ,,2.0, 6.1
Barney Cable, CHZ, SF,27,19, , 28.5,3.5,8.6, .402, ,,, 3.5, 8.6,.402,.402, 1.1,1.7,.636, ,,5.7,2.2, , ,,2.6, 8.1
Wilt Chamberlain*, SFW, C,26,80, , 47.6,18.3,34.6, .528, ,,, 18.3, 34.6,.528,.528, 8.3,13.9,.593, ,,24.3,3.4, , ,,1.7, 44.8
Len Chappell, SYR, PF,22,80, , 15.5,3.5,7.6, .465, ,,, 3.5, 7.6,.465,.465, 1.9,3.0,.622, ,,5.8,0.7, , ,,2.1, 8.9
Gene Conley, NYK, PF,32,70, , 22.1,3.6,9.3, .390, ,,, 3.6, 9.3,.390,.390, 1.7,2.7,.656, ,,6.7,1.0, , ,,3.8, 9.0
Larry Costello, SYR, PG,31,78, , 26.5,3.7,8.5, .432, ,,, 3.7, 8.5,.432,.432, 3.7,4.2,.881, ,,3.0,4.3, , ,,3.4, 11.0
Bob Cousy*, BOS, PG,34,76, , 26.0,5.2,13.0, .397, ,,, 5.2, 13.0,.397,.397, 2.9,3.9,.735, ,,2.5,6.8, , ,,2.3, 13.2
Johnny Cox, CHZ, SG,26,73, , 23.1,3.3,7.8, .421, ,,, 3.3, 7.8,.421,.421, 1.3,1.8,.704, ,,3.8,1.9, , ,,2.0, 7.8
Dave DeBusschere*, DET, SF,22,80, , 29.4,5.1,11.8, .430, ,,, 5.1, 11.8,.430,.430, 2.6,3.6,.718, ,,8.7,2.6, , ,,3.1, 12.7
Terry Dischinger, CHZ, SF,22,57, , 40.2,9.2,18.0, .512, ,,, 9.2, 18.0,.512,.512, 7.1,9.2,.770, ,,8.0,3.1, , ,,3.3, 25.5
Danny Doyle, DET, PF,22,4, , 6.3,1.5,3.0, .500, ,,, 1.5, 3.0,.500,.500, 1.0,1.3,.800, ,,2.0,0.8, , ,,1.0, 4.0
Bob Duffy, STL, PG,22,42, , 10.4,1.6,4.1, .379, ,,, 1.6, 4.1,.379,.379, 0.5,0.9,.564, ,,0.9,2.0, , ,,1.0, 3.7
Walter Dukes, DET, C,32,62, , 14.7,1.3,4.1, .325, ,,, 1.3, 4.1,.325,.325, 1.6,2.2,.737, ,,5.8,0.9, , ,,3.0, 4.3
Johnny Egan, DET, PG,24,46, , 16.3,2.4,6.4, .372, ,,, 2.4, 6.4,.372,.372, 1.2,1.5,.768, ,,1.3,2.5, , ,,1.5, 5.9
Leroy Ellis, LAL, C,22,80, , 20.4,2.8,6.6, .419, ,,, 2.8, 6.6,.419,.419, 1.7,2.5,.658, ,,6.5,0.6, , ,,2.4, 7.2
Wayne Embry*, CIN, C,25,76, , 33.0,7.0,15.3, .458, ,,, 7.0, 15.3,.458,.458, 4.5,6.8,.667, ,,12.3,2.3, , ,,3.8, 18.6
Mike Farmer, STL, SF,26,80, , 21.6,3.0,7.0, .425, ,,, 3.0, 7.0,.425,.425, 1.5,1.7,.842, ,,4.6,1.8, , ,,1.9, 7.4
Dave Fedor, SFW, F,22,7, , 3.9,0.4,1.4, .300, ,,, 0.4, 1.4,.300,.300, 0.0,0.1,.000, ,,0.9,0.1, , ,,0.6, 0.9
Al Ferrari, CHZ, G-F,29,18, , 7.7,0.7,2.1, .324, ,,, 0.7, 2.1,.324,.324, 0.8,0.9,.824, ,,0.7,0.8, , ,,1.2, 2.1
Bob Ferry, DET, C,25,79, , 31.4,5.4,12.5, .433, ,,, 5.4, 12.5,.433,.433, 2.8,4.3,.649, ,,6.8,2.2, , ,,3.1, 13.6
Jack Foley, TOT, F,23,11, , 7.5,1.8,4.6, .392, ,,, 1.8, 4.6,.392,.392, 1.2,1.4,.867, ,,1.5,0.5, , ,,0.7, 4.8
Jack Foley, BOS, F,23,5, , 9.2,2.6,5.2, .500, ,,, 2.6, 5.2,.500,.500, 1.2,1.6,.750, ,,1.4,0.0, , ,,0.6, 6.4
Jack Foley, NYK, F,23,6, , 6.2,1.2,4.2, .280, ,,, 1.2, 4.2,.280,.280, 1.2,1.2,1.000, ,,1.5,0.8, , ,,0.8, 3.5
Dave Gambee, SYR, SF,25,60, , 20.6,3.9,9.0, .438, ,,, 3.9, 9.0,.438,.438, 3.3,4.0,.836, ,,4.8,0.8, , ,,3.2, 11.2
Tom Gola*, TOT, SF-SG,30,73, , 36.6,5.0,10.8, .459, ,,, 5.0, 10.8,.459,.459, 2.3,3.0,.776, ,,7.1,4.1, , ,,4.0, 12.3
Tom Gola*, SFW, SG,30,21, , 39.1,5.3,11.6, .457, ,,, 5.3, 11.6,.457,.457, 2.4,3.1,.758, ,,7.0,3.5, , ,,4.4, 13.0
Tom Gola*, NYK, SF,30,52, , 35.5,4.8,10.5, .460, ,,, 4.8, 10.5,.460,.460, 2.3,2.9,.784, ,,7.1,4.3, , ,,3.9, 12.0
Johnny Green, NYK, PF,29,80, , 31.9,7.3,15.8, .462, ,,, 7.3, 15.8,.462,.462, 3.5,5.5,.638, ,,12.1,1.9, , ,,3.0, 18.1
Si Green, CHZ, PG,29,73, , 36.3,4.4,10.7, .411, ,,, 4.4, 10.7,.411,.411, 2.9,4.2,.683, ,,4.6,5.8, , ,,3.8, 11.7
